Item,Reference(s),Value,Footprint,digikey part number,Qty,
1,"C1, C2, C3, C7, C8",0.1u,SM0603,1276-1941-2-ND,5,
2,"C4, C5",1u,SM0603,445-12539-2-ND ,2,
3,"C6, C10",0.01u NP0,SM0603,478-3700-2-ND,2,
4,C9,470p NP0,SM0603,478-5777-2-ND ,1,
5,C11,2.2u film,external:QXK2E225KTP,493-3523-ND,1,
6,C12,2.2u,SM0805,1276-2953-2-ND,1,
7,D1,BZX84C68,SOT-23,BZX84C68LT1GOSTR-ND,1,
8,J1,DX07S024WJ3R400,external:DX07S024WJ3R400,670-2950-2-ND ,1,
9,J2,Conn_01x20_Female,Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical,S9197-ND ,1,
10,"M1, M2, M3, M4",TP5335,SOT-23,TP5335K1-GTR-ND,4,
11,PS1,NCH8200HV,PIC-nixie:NCH8200HV,N/A,1,
12,"Q1, Q2, Q3, Q4, Q5, Q6","PMBTA42,185",SOT-23,1727-8537-2-ND,6,
13,R1,10k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2019-SG73S2ATTD103JTR-ND,1,
14,R5,5.1k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,P21099TR-ND,1,
15,R10,2.2k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2019-SG73S2ATTD2201FTR-ND,1,
16,"R11, R12",120k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2019-RK73H2ARTTD1203FTR-ND,2,
17,R17,220k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,A126350TR-ND ,1,
18,"R20, R21",510k,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,YAG4802TR-ND,2,
19,"RA1, RA2, RA7",EXB-V8V103JV,Resistor_SMD:R_Array_Convex_4x0603,Y4103TR-ND,3,
20,RA3,EXB-V8V821JV,Resistor_SMD:R_Array_Convex_4x0603,Y4821TR-ND ,1,
21,RA4,EXB-V4V105JV,Resistor_SMD:R_Array_Convex_2x0603,Y2105TR-ND,1,
22,"RA5, RA6",EXB-V8V105JV,Resistor_SMD:R_Array_Convex_4x0603,Y4105TR-ND,2,
23,RA8,EXB-V8V224JV,Resistor_SMD:R_Array_Convex_4x0603,Y4224TR-ND,1,
24,RA9,4608X-102-822LF,Resistor_THT:R_Array_SIP8,4608X-2-822LF-ND ,1,
25,"SW1, SW2, SW3",SW_SPST,external:SW_TL3301SPF260QG,EG1870TR-ND,3,
26,U1,PIC16F54-IP,Package_DIP:DIP-18_W7.62mm_Socket,"PIC16F54-I/P-ND, ED3318-ND",1,
27,U2,K155ID1,Package_DIP:DIP-16_W7.62mm_Socket,"N/A, ED90033-ND",1,
28,U3,74HCT125D,external:74HCT125D,1727-2834-2-ND ,1,
29,U4,74LVC1G04,Package_TO_SOT_SMD:SOT-553,74LVC1G04Z-7DITR-ND ,1,
30,U5,74LVC2G80,Package_SO:VSSOP-8_2.3x2mm_P0.5mm,296-17083-2-ND,1,
31,U6,XC6221B302MR-G,external:XC6221B302MR-G,893-1100-2-ND,1,
32,U7,"74HC2G14GV,125",ext2:Nexperia-SOT457-11_2018-0-MFG,1727-6046-1-ND,1,
33,XTAL1,"I537-2O7-16.000, TG2520SMN 16",PIC-nixie:Crystal_SMD_ILSI_I537-4Pin_3.2x2.5mm,2780-I537-2O7-16.000MHZTR-ND,1, 732-TG252S16MCGNNM3 
